Year,Month,Base/Project,LOBGroup,CostCategory,PlanRate
2021,1,Base,LOB_Group_1,Cost_Category_1,70022.52
2021,1,Project,LOB_Group_1,Cost_Category_2,35552.72
2021,1,Project,LOB_Group_1,Cost_Category_3,10772.92
2021,1,Base,LOB_Group_1,Cost_Category_4,70646.94
2021,1,Project,LOB_Group_1,Cost_Category_5,22024.19
2021,1,Project,LOB_Group_1,Cost_Category_6,81740.99
2021,1,Project,LOB_Group_1,Cost_Category_7,45098.44
2021,1,Base,LOB_Group_1,Cost_Category_8,4510.62
2021,1,Project,LOB_Group_1,Cost_Category_9,53389.35
2021,1,Base,LOB_Group_1,Cost_Category_10,40307.05
2021,1,Base,LOB_Group_1,Cost_Category_11,81078.41
2021,1,Base,LOB_Group_1,Cost_Category_12,28341.87
2021,1,Base,LOB_Group_1,Cost_Category_13,39296.61
2021,1,Base,LOB_Group_1,Cost_Category_14,20489.56
2021,1,Base,LOB_Group_1,Cost_Category_15,12007.36
2021,1,Base,LOB_Group_1,Cost_Category_16,52913.03
2021,1,Base,LOB_Group_2,Cost_Category_1,16081.8
2021,1,Project,LOB_Group_2,Cost_Category_2,30143.83
2021,1,Base,LOB_Group_2,Cost_Category_3,52682.31
2021,1,Project,LOB_Group_2,Cost_Category_4,35631.7
2021,1,Project,LOB_Group_2,Cost_Category_5,42921.15
2021,1,Project,LOB_Group_2,Cost_Category_6,40306.05
2021,1,Base,LOB_Group_2,Cost_Category_7,57665.67
2021,1,Project,LOB_Group_2,Cost_Category_8,97976.1
2021,1,Project,LOB_Group_2,Cost_Category_9,84067.4
2021,1,Base,LOB_Group_2,Cost_Category_10,52646.96
2021,1,Base,LOB_Group_2,Cost_Category_11,2926.92
2021,1,Base,LOB_Group_2,Cost_Category_12,55756.65
2021,1,Base,LOB_Group_2,Cost_Category_13,61365.88
2021,1,Base,LOB_Group_2,Cost_Category_14,51511.07
2021,1,Project,LOB_Group_2,Cost_Category_15,18557.69
2021,1,Base,LOB_Group_2,Cost_Category_16,77536.44
2021,1,Project,LOB_Group_3,Cost_Category_1,74811.62
2021,1,Project,LOB_Group_3,Cost_Category_2,45932.89
2021,1,Base,LOB_Group_3,Cost_Category_3,38806.7
2021,1,Project,LOB_Group_3,Cost_Category_4,13271.19
2021,1,Project,LOB_Group_3,Cost_Category_5,17906.71
2021,1,Base,LOB_Group_3,Cost_Category_6,31328.01
2021,1,Project,LOB_Group_3,Cost_Category_7,40379.51
2021,1,Base,LOB_Group_3,Cost_Category_8,47552.2
2021,1,Base,LOB_Group_3,Cost_Category_9,69950.95
2021,1,Project,LOB_Group_3,Cost_Category_10,43277.12
2021,1,Project,LOB_Group_3,Cost_Category_11,54004.41
2021,1,Base,LOB_Group_3,Cost_Category_12,6568.86
2021,1,Project,LOB_Group_3,Cost_Category_13,70306.2
2021,1,Project,LOB_Group_3,Cost_Category_14,58436.1
2021,1,Project,LOB_Group_3,Cost_Category_15,11617.33
2021,1,Project,LOB_Group_3,Cost_Category_16,50360.41
2021,1,Project,LOB_Group_4,Cost_Category_1,52074.18
2021,1,Project,LOB_Group_4,Cost_Category_2,36813.73
